,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Nilai Semester 5  - Bahasa Indonesia,0.7220455841027011,-0.25947522597015643,0.05732286358093229,0.14308535964358893,0.03253401609903671,-0.09441556837592645,0.2005799958521705,0.2670643462379897,-0.09817446430005632,0.3441380465313559,0.0019973739402739396
Nilai Semester 5  - Praktikum Neuro Computing,0.8392969632319052,-0.047418357299609165,-0.07537639968020172,-0.0758566051904566,-0.1941947731813905,-0.12454947650516263,0.15433642471238457,-0.05099825434515947,0.13840369020215107,-0.11132724621980152,-0.17415735720568376
Nilai Semester 1 - nilai IPS,0.8045455602789396,0.46191810518614507,-0.1083029343131967,-0.04548824244170287,0.22961147177556923,0.15202883378459942,0.15068729426860408,-0.059324452013936706,-0.12406028728241075,0.028373449369400307,-0.023761935388694463
Nilai Semester 2 - nilai IPS,0.9129240030021366,-0.011132433787858855,0.05601370250131182,0.04600802412366522,0.1434206238258038,0.17056202259241796,-0.01977472217845425,0.06147765879391093,0.1548482407510461,0.16566337147921364,0.0014226139007356053
Nilai Semester 3 - nilai IPS,0.9007921808659232,0.12967311762084194,-0.12093555821965524,0.0429367694675141,0.09978209256420181,-0.10959694778907568,-0.09875454119665102,0.033142135909668934,0.003570722694850508,0.06389344480101339,0.1100436426464797
Nilai Semester 4  - nilai IPS,0.8601900538732232,-0.14033738439086224,-0.0033120405521026987,-0.29500369909931445,-0.1705090757268653,0.07122304378836583,-0.004968653718582369,-0.05874454457936545,-0.11176630612921262,0.03701545107063468,-0.07808485194546633
Nilai Semester 5  - nilai IPS,0.9182404433480215,-0.26032163440372064,0.11803589102334783,0.05023267311519552,-0.04454108355001687,0.05318732423697078,0.06885697302258141,-0.07257981965288825,0.04754424662303696,0.0651239566213843,-0.05841903180312692
Nilai Semester 1 - ABSENSI,0.14712495958421776,-0.5851007918800538,-0.4099143038139922,0.4642467237357145,0.11819391837883143,-0.12779738391049156,-0.31018066247361914,-0.2049067111541591,0.001553406462575079,-0.06705839820324132,0.02553704238890543
Nilai Semester 2 - ABSENSI,0.14695691807857364,-0.19228863792465906,-0.5214769858976092,0.16153944584834595,0.31234775021459127,-0.17997829299633264,0.15563056216056909,-0.17020809335502327,-0.13569149465290467,0.14351615117114733,-0.22795081187856941
Nilai Semester 3 - ABSENSI,0.011749311442415367,-0.4301006891017526,-0.5503677565605266,0.3968810314069586,0.15452190457704745,0.05529633777582558,0.05255040378139491,-0.23811482298607206,-0.04726138519903889,0.33450709798501077,0.027836986891259952
Nilai Semester 4  - ABSENSI,-0.06487572854933325,-0.1870360657291122,-0.5101186510363613,0.4216245055055793,0.10551414310511713,0.27742123715119754,0.21943037483256722,-0.019568715156376176,-0.2443894386340706,-0.40224005008607316,-0.12032384756280978
